text,label,pred_label,pred_score
I loved this film,1,1,0.6001001400885076
Terrible acting and a weak plot,0,0,0.40693978079808835
Surprisingly good,1,1,0.6131383472108098
That was bad,0,0,0.3918009873016999
Not my cup of tea,0,0,0.40375032107794356
Absolutely brilliant from start to finish,1,1,0.6001001400885076
"Utter rubbish, I almost walked out",0,1,0.5014923296453281
Decent story and lovely soundtrack,1,1,0.5952890902620677
Boring and far too long,0,0,0.40693978079808835
The cast were fantastic,1,1,0.5856027551642974
The dialogue was cringeworthy,0,0,0.3920708801469831
Exceeded my expectations,1,1,0.5836003713486198
I would not recommend it,0,0,0.4671768993801465
"A charming, feel-good watch",1,1,0.6131383472108098
Confusing plot and poor pacing,0,0,0.4730359414232332
Kept me on the edge of my seat,1,0,0.45270277680334
Predictable with no surprises,0,0,0.402221862705201
Beautifully shot and well acted,1,1,0.5952890902620677
The jokes fell flat,0,0,0.4025880559208049
An instant favourite,1,1,0.6001001400885076
Disappointing ending,0,0,0.40222186270520094
A true masterpiece of cinema,1,0,0.4671768993801465
I wanted my money back,0,0,0.4048943601898895
